total_size,draw,method,accuracy
60,20,SVM,0.7166666666666668
60,20,KNN,0.7166666666666667
60,20,RF,0.7
60,20,XGB,0.6666666666666667
60,21,LOGIS,0.7999999999999999
60,21,SVM,0.65
60,21,KNN,0.6166666666666667
60,21,RF,0.7333333333333334
60,21,XGB,0.7000000000000001
60,22,LOGIS,0.7666666666666667
60,22,SVM,0.8
60,22,KNN,0.7833333333333333
60,22,RF,0.8166666666666668
60,22,XGB,0.7499999999999999
60,23,LOGIS,0.8
60,23,SVM,0.8333333333333334
60,23,KNN,0.7
60,23,RF,0.7166666666666667
60,23,XGB,0.7166666666666666
60,24,LOGIS,0.7833333333333334
60,24,SVM,0.65
60,24,KNN,0.5666666666666667
60,24,RF,0.6666666666666666
60,24,XGB,0.7
60,25,LOGIS,0.8333333333333334
60,25,SVM,0.8166666666666667
60,25,KNN,0.7166666666666666
60,25,RF,0.7166666666666666
60,25,XGB,0.7333333333333333
60,26,LOGIS,0.85
60,26,SVM,0.8166666666666667
60,26,KNN,0.7666666666666667
60,26,RF,0.7666666666666666
60,26,XGB,0.8166666666666667
60,27,LOGIS,0.75
60,27,SVM,0.7
60,27,KNN,0.75
60,27,RF,0.7333333333333333
60,27,XGB,0.8166666666666668
60,28,LOGIS,0.9
60,28,SVM,0.6666666666666666
60,28,KNN,0.65
60,28,RF,0.6833333333333333
60,28,XGB,0.6333333333333333
60,29,LOGIS,0.9333333333333332
60,29,SVM,0.8
60,29,KNN,0.8
60,29,RF,0.75
60,29,XGB,0.7500000000000001
70,0,LOGIS,0.7
70,0,SVM,0.7571428571428571
70,0,KNN,0.7714285714285714
70,0,RF,0.8
70,0,XGB,0.7428571428571429
70,1,LOGIS,0.7285714285714285
70,1,SVM,0.7571428571428571
70,1,KNN,0.7285714285714285
70,1,RF,0.6857142857142857
70,1,XGB,0.6857142857142857
70,2,LOGIS,0.8142857142857143
70,2,SVM,0.7857142857142858
70,2,KNN,0.7857142857142857
70,2,RF,0.7714285714285716
70,2,XGB,0.7571428571428571
70,3,LOGIS,0.7857142857142858
70,3,SVM,0.7285714285714285
70,3,KNN,0.7428571428571429
70,3,RF,0.7142857142857142
70,3,XGB,0.7
70,4,LOGIS,0.7714285714285716
70,4,SVM,0.7142857142857143
70,4,KNN,0.7
70,4,RF,0.7000000000000001
70,4,XGB,0.7571428571428571
70,5,LOGIS,0.9428571428571428
70,5,SVM,0.7
70,5,KNN,0.7285714285714285
70,5,RF,0.6714285714285715
70,5,XGB,0.7285714285714286
70,6,LOGIS,0.8
70,6,SVM,0.7285714285714285
70,6,KNN,0.6857142857142857
70,6,RF,0.6857142857142857
70,6,XGB,0.7857142857142858
70,7,LOGIS,0.7428571428571428
70,7,SVM,0.7285714285714286
70,7,KNN,0.7571428571428571
70,7,RF,0.6571428571428573
70,7,XGB,0.6571428571428571
70,8,LOGIS,0.6857142857142857
70,8,SVM,0.7285714285714284
70,8,KNN,0.6571428571428571
70,8,RF,0.6571428571428571
70,8,XGB,0.7142857142857142
70,9,LOGIS,0.8428571428571429
70,9,SVM,0.7571428571428571
70,9,KNN,0.6857142857142857
70,9,RF,0.7285714285714284
70,9,XGB,0.7142857142857142
70,10,LOGIS,0.6571428571428571
70,10,SVM,0.6857142857142857
70,10,KNN,0.5428571428571429
70,10,RF,0.6142857142857143
70,10,XGB,0.6714285714285715
70,11,LOGIS,0.8428571428571429
70,11,SVM,0.7857142857142857
70,11,KNN,0.7714285714285714
70,11,RF,0.7857142857142857
70,11,XGB,0.7999999999999999
70,12,LOGIS,0.7142857142857143
70,12,SVM,0.7428571428571429
70,12,KNN,0.7285714285714285
70,12,RF,0.7714285714285714
70,12,XGB,0.7285714285714285
70,13,LOGIS,0.7714285714285715
70,13,SVM,0.7571428571428571
70,13,KNN,0.7714285714285715
70,13,RF,0.8142857142857143
70,13,XGB,0.7571428571428571
70,14,LOGIS,0.8428571428571429
70,14,SVM,0.8142857142857143
70,14,KNN,0.7142857142857143
70,14,RF,0.8
70,14,XGB,0.8285714285714286
70,15,LOGIS,0.8571428571428571
70,15,SVM,0.7571428571428571
70,15,KNN,0.7285714285714286
70,15,RF,0.7428571428571429
70,15,XGB,0.7285714285714286
70,16,LOGIS,0.7285714285714285
70,16,SVM,0.7285714285714285
70,16,KNN,0.6714285714285715
70,16,RF,0.7571428571428571
70,16,XGB,0.7571428571428571
70,17,LOGIS,0.7
70,17,SVM,0.7714285714285714
70,17,KNN,0.7428571428571429
70,17,RF,0.7714285714285714
70,17,XGB,0.7571428571428571
70,18,LOGIS,0.6857142857142857
70,18,SVM,0.7142857142857143
70,18,KNN,0.6857142857142857
70,18,RF,0.6571428571428571
70,18,XGB,0.6714285714285714
70,19,LOGIS,0.8285714285714286
70,19,SVM,0.8857142857142858
70,19,KNN,0.7428571428571428
70,19,RF,0.8
70,19,XGB,0.8428571428571429
70,20,LOGIS,0.8
70,20,SVM,0.7142857142857143
70,20,KNN,0.7142857142857142
70,20,RF,0.6857142857142857
70,20,XGB,0.8285714285714286
70,21,LOGIS,0.8
70,21,SVM,0.7714285714285714
70,21,KNN,0.7571428571428571
70,21,RF,0.7857142857142858
70,21,XGB,0.6857142857142857
70,22,LOGIS,0.8285714285714285
70,22,SVM,0.8285714285714286
70,22,KNN,0.7857142857142857
70,22,RF,0.8142857142857144
70,22,XGB,0.8428571428571429
70,23,LOGIS,0.7428571428571428
70,23,SVM,0.6285714285714286
70,23,KNN,0.6285714285714286
70,23,RF,0.5857142857142856
70,23,XGB,0.7
70,24,LOGIS,0.7714285714285715
70,24,SVM,0.7571428571428571
70,24,KNN,0.7571428571428571
70,24,RF,0.7571428571428571
70,24,XGB,0.7285714285714286
70,25,LOGIS,0.7857142857142858
70,25,SVM,0.7714285714285714
70,25,KNN,0.7571428571428572
70,25,RF,0.7714285714285715
70,25,XGB,0.7285714285714286
70,26,LOGIS,0.7857142857142857
70,26,SVM,0.7857142857142857
70,26,KNN,0.7428571428571429
70,26,RF,0.7857142857142857
70,26,XGB,0.8285714285714285
70,27,LOGIS,0.8
70,27,SVM,0.7857142857142858
70,27,KNN,0.7428571428571429
70,27,RF,0.7428571428571429
70,27,XGB,0.7285714285714285
70,28,LOGIS,0.8857142857142858
70,28,SVM,0.8714285714285713
70,28,KNN,0.8571428571428571
70,28,RF,0.8714285714285713
70,28,XGB,0.8428571428571429
70,29,LOGIS,0.7285714285714285
70,29,SVM,0.7285714285714285
70,29,KNN,0.7571428571428572
70,29,RF,0.8142857142857143
70,29,XGB,0.7428571428571429
80,0,LOGIS,0.7625
80,0,SVM,0.75
80,0,KNN,0.7125
80,0,RF,0.7375
80,0,XGB,0.7625
80,1,LOGIS,0.675
80,1,SVM,0.7875
80,1,KNN,0.7125
80,1,RF,0.7875
80,1,XGB,0.8
80,2,LOGIS,0.8125
80,2,SVM,0.7625
80,2,KNN,0.7125
80,2,RF,0.8375
80,2,XGB,0.7625
80,3,LOGIS,0.8375
80,3,SVM,0.8625
80,3,KNN,0.7875
80,3,RF,0.85
80,3,XGB,0.825
80,4,LOGIS,0.8125
80,4,SVM,0.8125
80,4,KNN,0.775
80,4,RF,0.825
80,4,XGB,0.8
80,5,LOGIS,0.775
80,5,SVM,0.75
80,5,KNN,0.7375
80,5,RF,0.725
80,5,XGB,0.725
80,6,LOGIS,0.8625
80,6,SVM,0.7625
80,6,KNN,0.7
80,6,RF,0.775
80,6,XGB,0.7625
80,7,LOGIS,0.7
80,7,SVM,0.7
80,7,KNN,0.6875
80,7,RF,0.75
80,7,XGB,0.6625
80,8,LOGIS,0.8
80,8,SVM,0.75
80,8,KNN,0.6875
80,8,RF,0.65
80,8,XGB,0.725
80,9,LOGIS,0.8125
80,9,SVM,0.8125
80,9,KNN,0.775
80,9,RF,0.7625
80,9,XGB,0.7625
80,10,LOGIS,0.7375
80,10,SVM,0.7625
80,10,KNN,0.75
80,10,RF,0.7625
80,10,XGB,0.75
80,11,LOGIS,0.75
80,11,SVM,0.75
80,11,KNN,0.75
80,11,RF,0.7
80,11,XGB,0.7625
80,12,LOGIS,0.725
80,12,SVM,0.675
80,12,KNN,0.6375
80,12,RF,0.7
80,12,XGB,0.725
80,13,LOGIS,0.9
80,13,SVM,0.8875
80,13,KNN,0.85
80,13,RF,0.8875
80,13,XGB,0.85
80,14,LOGIS,0.775
80,14,SVM,0.7125
80,14,KNN,0.6875
80,14,RF,0.7375
80,14,XGB,0.7875
80,15,LOGIS,0.8375
80,15,SVM,0.675
