total_size,draw,method,f1_score,accuracy,auc
18,0,RF,0.44000000000000006,0.5333333333333333,0.4
18,0,XGB,0.47000000000000003,0.5,0.5
18,1,LOGIS,0.76,0.7666666666666666,0.85
18,1,SVM,0.48,0.6333333333333333,0.1
18,1,KNN,0.6733333333333333,0.6833333333333333,0.725
18,1,RF,0.7733333333333333,0.7833333333333333,0.925
18,1,XGB,0.9466666666666667,0.95,0.95
18,2,LOGIS,0.44666666666666666,0.4833333333333334,0.65
18,2,SVM,0.2733333333333333,0.3833333333333333,0.45
18,2,KNN,0.4133333333333333,0.4833333333333334,0.525
18,2,RF,0.4333333333333334,0.4833333333333334,0.55
18,2,XGB,0.5933333333333334,0.6333333333333334,0.65
18,3,LOGIS,0.44333333333333336,0.4666666666666667,0.5
18,3,SVM,0.32999999999999996,0.5,0.35
18,3,KNN,0.4,0.4333333333333333,0.425
18,3,RF,0.33999999999999997,0.3833333333333333,0.25
18,3,XGB,0.30666666666666664,0.3833333333333333,0.475
18,4,LOGIS,0.3,0.3,0.3
18,4,SVM,0.32999999999999996,0.5,0.65
18,4,KNN,0.37,0.45,0.375
18,4,RF,0.35,0.36666666666666664,0.35
18,4,XGB,0.39333333333333337,0.4,0.5
18,5,LOGIS,0.6799999999999999,0.6833333333333333,0.7
18,5,SVM,0.30333333333333334,0.45,0.45
18,5,KNN,0.61,0.6666666666666667,0.7
18,5,RF,0.58,0.6666666666666666,0.625
18,5,XGB,0.5266666666666666,0.5333333333333333,0.65
18,6,LOGIS,0.2633333333333333,0.3,0.3
18,6,SVM,0.32999999999999996,0.5,0.7
18,6,KNN,0.30333333333333334,0.45,0.225
18,6,RF,0.4766666666666667,0.5166666666666666,0.3
18,6,XGB,0.42333333333333334,0.45,0.2
18,7,LOGIS,0.7333333333333333,0.7333333333333333,0.7
18,7,SVM,0.36,0.5666666666666667,0.25
18,7,KNN,0.6133333333333334,0.6833333333333333,0.75
18,7,RF,0.5233333333333333,0.55,0.55
18,7,XGB,0.41999999999999993,0.5166666666666666,0.475
18,8,LOGIS,0.7466666666666667,0.75,0.7
18,8,SVM,0.48,0.6333333333333333,0.25
18,8,KNN,0.6133333333333333,0.6166666666666666,0.675
18,8,RF,0.7933333333333333,0.8,0.8
18,8,XGB,0.8933333333333333,0.9,0.9
18,9,LOGIS,0.29,0.31666666666666665,0.25
18,9,SVM,0.32999999999999996,0.5,0.7
18,9,KNN,0.27666666666666667,0.4,0.325
18,9,RF,0.31333333333333335,0.3333333333333333,0.25
18,9,XGB,0.36666666666666664,0.4333333333333333,0.25
18,10,LOGIS,0.5733333333333334,0.6333333333333333,0.65
18,10,SVM,0.32999999999999996,0.5,0.3
18,10,KNN,0.33666666666666667,0.36666666666666664,0.375
18,10,RF,0.45999999999999996,0.5333333333333334,0.45
18,10,XGB,0.44666666666666666,0.4833333333333334,0.45
18,11,LOGIS,0.43,0.45,0.45
