total_size,draw,method,accuracy
60,2,RF,0.8666666666666668
60,2,XGB,0.8833333333333332
60,3,LOGIS,0.7
60,3,SVM,0.7666666666666666
60,3,KNN,0.7333333333333333
60,3,RF,0.7499999999999999
60,3,XGB,0.7
60,4,LOGIS,0.8666666666666666
60,4,SVM,0.75
60,4,KNN,0.7166666666666667
60,4,RF,0.7666666666666667
60,4,XGB,0.7666666666666666
60,5,LOGIS,0.7999999999999999
60,5,SVM,0.7500000000000001
60,5,KNN,0.7
60,5,RF,0.7333333333333334
60,5,XGB,0.7833333333333334
60,6,LOGIS,0.7166666666666666
60,6,SVM,0.7333333333333334
60,6,KNN,0.7166666666666667
60,6,RF,0.6666666666666667
60,6,XGB,0.6166666666666666
60,7,LOGIS,0.7666666666666667
60,7,SVM,0.7833333333333333
60,7,KNN,0.7666666666666666
60,7,RF,0.8
60,7,XGB,0.8
60,8,LOGIS,0.7
60,8,SVM,0.7833333333333333
60,8,KNN,0.7499999999999999
60,8,RF,0.7500000000000001
60,8,XGB,0.8
60,9,LOGIS,0.6666666666666667
60,9,SVM,0.6833333333333333
60,9,KNN,0.7166666666666667
60,9,RF,0.7666666666666667
60,9,XGB,0.7833333333333333
60,10,LOGIS,0.7833333333333334
60,10,SVM,0.8
60,10,KNN,0.75
60,10,RF,0.7833333333333333
60,10,XGB,0.7333333333333333
60,11,LOGIS,0.6833333333333333
60,11,SVM,0.6666666666666666
60,11,KNN,0.7
60,11,RF,0.6666666666666667
60,11,XGB,0.7166666666666667
60,12,LOGIS,0.7500000000000001
60,12,SVM,0.7333333333333333
60,12,KNN,0.7333333333333333
60,12,RF,0.6833333333333333
60,12,XGB,0.6666666666666666
60,13,LOGIS,0.8166666666666668
60,13,SVM,0.7833333333333334
60,13,KNN,0.7833333333333334
60,13,RF,0.7166666666666666
60,13,XGB,0.7333333333333334
60,14,LOGIS,0.65
60,14,SVM,0.75
60,14,KNN,0.7166666666666667
60,14,RF,0.7
60,14,XGB,0.6833333333333333
60,15,LOGIS,0.75
60,15,SVM,0.8166666666666667
60,15,KNN,0.7833333333333333
60,15,RF,0.8
60,15,XGB,0.7333333333333333
60,16,LOGIS,0.75
60,16,SVM,0.8
60,16,KNN,0.8
60,16,RF,0.8166666666666668
60,16,XGB,0.7833333333333334
60,17,LOGIS,0.6666666666666667
60,17,SVM,0.5833333333333333
60,17,KNN,0.6333333333333333
60,17,RF,0.65
60,17,XGB,0.6333333333333334
60,18,LOGIS,0.6166666666666667
60,18,SVM,0.6666666666666667
60,18,KNN,0.5833333333333333
60,18,RF,0.5833333333333333
60,18,XGB,0.6
60,19,LOGIS,0.6333333333333334
60,19,SVM,0.65
60,19,KNN,0.75
60,19,RF,0.6833333333333333
60,19,XGB,0.6666666666666667
60,20,LOGIS,0.7666666666666667
60,20,SVM,0.7833333333333333
60,20,KNN,0.75
60,20,RF,0.7833333333333333
60,20,XGB,0.7166666666666667
60,21,LOGIS,0.8333333333333333
60,21,SVM,0.7833333333333333
60,21,KNN,0.7166666666666667
60,21,RF,0.7666666666666667
60,21,XGB,0.7333333333333334
60,22,LOGIS,0.7
60,22,SVM,0.8
60,22,KNN,0.7666666666666666
60,22,RF,0.7833333333333333
60,22,XGB,0.7
60,23,LOGIS,0.5833333333333333
60,23,SVM,0.75
60,23,KNN,0.7
60,23,RF,0.7499999999999999
60,23,XGB,0.7166666666666666
60,24,LOGIS,0.7666666666666666
60,24,SVM,0.7833333333333333
60,24,KNN,0.7833333333333333
60,24,RF,0.7499999999999999
60,24,XGB,0.7333333333333333
60,25,LOGIS,0.7333333333333333
60,25,SVM,0.7166666666666666
60,25,KNN,0.7666666666666667
60,25,RF,0.7333333333333333
60,25,XGB,0.6666666666666667
60,26,LOGIS,0.7166666666666667
60,26,SVM,0.85
60,26,KNN,0.7333333333333333
60,26,RF,0.7833333333333333
60,26,XGB,0.7666666666666667
60,27,LOGIS,0.6833333333333333
60,27,SVM,0.75
60,27,KNN,0.7166666666666666
60,27,RF,0.7666666666666667
60,27,XGB,0.7166666666666667
60,28,LOGIS,0.8
60,28,SVM,0.9
60,28,KNN,0.8333333333333333
60,28,RF,0.8166666666666668
60,28,XGB,0.7166666666666666
60,29,LOGIS,0.75
60,29,SVM,0.7333333333333334
60,29,KNN,0.7333333333333334
60,29,RF,0.7166666666666667
60,29,XGB,0.7166666666666666
70,0,LOGIS,0.7571428571428572
70,0,SVM,0.8285714285714286
70,0,KNN,0.8571428571428571
70,0,RF,0.8142857142857143
70,0,XGB,0.8
70,1,LOGIS,0.7
70,1,SVM,0.7142857142857143
70,1,KNN,0.7285714285714285
70,1,RF,0.7
70,1,XGB,0.7142857142857143
70,2,LOGIS,0.7142857142857143
70,2,SVM,0.7571428571428571
70,2,KNN,0.7285714285714285
70,2,RF,0.7142857142857142
70,2,XGB,0.6714285714285714
70,3,LOGIS,0.7571428571428571
70,3,SVM,0.7857142857142856
70,3,KNN,0.7714285714285714
70,3,RF,0.8
70,3,XGB,0.8
70,4,LOGIS,0.7142857142857143
70,4,SVM,0.8428571428571429
70,4,KNN,0.7857142857142857
70,4,RF,0.8142857142857143
70,4,XGB,0.7571428571428572
70,5,LOGIS,0.7428571428571429
70,5,SVM,0.7428571428571428
70,5,KNN,0.7142857142857143
70,5,RF,0.7142857142857142
70,5,XGB,0.7
