total_size,draw,method,f1_score
35,0,LOGIS,0.8845238095238095
35,0,SVM,0.8534126984126983
35,0,KNN,0.795079365079365
35,0,RF,0.7808730158730158
35,0,XGB,0.7976190476190477
35,1,LOGIS,0.7678571428571427
35,1,SVM,0.7404761904761903
35,1,KNN,0.795079365079365
35,1,RF,0.7186507936507935
35,1,XGB,0.6498412698412698
35,2,LOGIS,0.8559523809523808
35,2,SVM,0.8261904761904761
35,2,KNN,0.7328571428571429
35,2,RF,0.738095238095238
35,2,XGB,0.7678571428571428
35,3,LOGIS,0.8522222222222222
35,3,SVM,0.8172222222222223
35,3,KNN,0.7316666666666667
35,3,RF,0.8495238095238096
35,3,XGB,0.7678571428571428
35,4,LOGIS,0.8261904761904761
35,4,SVM,0.8261904761904761
35,4,KNN,0.7379365079365078
35,4,RF,0.6263780663780664
35,4,XGB,0.5294444444444444
35,5,LOGIS,0.6821428571428572
35,5,SVM,0.6833333333333332
35,5,KNN,0.5916666666666666
35,5,RF,0.7017460317460318
35,5,XGB,0.5369047619047618
35,6,LOGIS,0.9117460317460316
35,6,SVM,0.8806349206349205
35,6,KNN,0.636984126984127
35,6,RF,0.7342063492063492
35,6,XGB,0.575952380952381
35,7,LOGIS,0.7119047619047618
35,7,SVM,0.7702380952380953
35,7,KNN,0.4088888888888888
35,7,RF,0.5888095238095238
35,7,XGB,0.569047619047619
35,8,LOGIS,0.821111111111111
35,8,SVM,0.7653174603174602
35,8,KNN,0.680952380952381
35,8,RF,0.72
35,8,XGB,0.641904761904762
35,9,LOGIS,0.760079365079365
35,9,SVM,0.7093650793650793
35,9,KNN,0.6422222222222221
35,9,RF,0.677063492063492
35,9,XGB,0.6694444444444445
35,10,LOGIS,0.9092063492063492
35,10,SVM,0.8794444444444445
35,10,KNN,0.7433333333333333
35,10,RF,0.7808730158730158
35,10,XGB,0.6833333333333333
35,11,LOGIS,0.8534126984126985
35,11,SVM,0.913095238095238
35,11,KNN,0.7665079365079365
35,11,RF,0.825
